recognitionTarget,source
そぶり,N1 2022-07 言語知識 問題2
腕前,N1 2022-07 言語知識 問題2
扱い,N1 2022-07 言語知識 問題2
発覚,N1 2022-07 言語知識 問題2
派生,N1 2022-07 言語知識 問題2
波及,N1 2022-07 言語知識 問題2
露出,N1 2022-07 言語知識 問題2
ざらざら,N1 2022-07 言語知識 問題2
ねばねば,N1 2022-07 言語知識 問題2
すべすべ,N1 2022-07 言語知識 問題2
ごつごつ,N1 2022-07 言語知識 問題2
掛け合わなくて,N1 2022-07 言語知識 問題2
張り合わなくて,N1 2022-07 言語知識 問題2
かみ合わなくて,N1 2022-07 言語知識 問題2
釣り合わなくて,N1 2022-07 言語知識 問題2
触発されて,N1 2022-07 言語知識 問題3
誘われて,N1 2022-07 言語知識 問題3
提案されて,N1 2022-07 言語知識 問題3
助けられて,N1 2022-07 言語知識 問題3
刺激されて,N1 2022-07 言語知識 問題3
閉口して,N1 2022-07 言語知識 問題3
慣れて,N1 2022-07 言語知識 問題3
困って,N1 2022-07 言語知識 問題3
がっかりして,N1 2022-07 言語知識 問題3
ほっとして,N1 2022-07 言語知識 問題3
気ままな,N1 2022-07 言語知識 問題3
質素な,N1 2022-07 言語知識 問題3
退屈な,N1 2022-07 言語知識 問題3
ぜいたくな,N1 2022-07 言語知識 問題3
自由な,N1 2022-07 言語知識 問題3
若干,N1 2022-07 言語知識 問題3
まだ,N1 2022-07 言語知識 問題3
かなり,N1 2022-07 言語知識 問題3
いくつか,N1 2022-07 言語知識 問題3
おそらく,N1 2022-07 言語知識 問題3
手分け,N1 2022-07 言語知識 問題3
分割,N1 2022-07 言語知識 問題3
分別,N1 2022-07 言語知識 問題3
分担,N1 2022-07 言語知識 問題3
分類,N1 2022-07 言語知識 問題3
をてきぱきと,N1 2022-07 言語知識 問題3
早く正確に,N1 2022-07 言語知識 問題3
時間をかけて丁寧に,N1 2022-07 言語知識 問題3
張り切る,N1 2022-07 言語知識 問題3
嫌がる,N1 2022-07 言語知識 問題3
結末,N1 2022-07 言語知識 問題4
そそる,N1 2022-07 言語知識 問題4
遮断,N1 2022-07 言語知識 問題4
要請,N1 2022-07 言語知識 問題4
ぎこちない,N1 2022-07 言語知識 問題4
断じて,N1 2022-07 言語知識 問題4
監督,N1 2022-12 言語知識 問題1
派生,N1 2022-12 言語知識 問題1
透けて,N1 2022-12 言語知識 問題1
恩恵,N1 2022-12 言語知識 問題1
臨む,N1 2022-12 言語知識 問題1
如実,N1 2022-12 言語知識 問題1
保護,N1 2022-12 言語知識 問題2
防御,N1 2022-12 言語知識 問題2
警備,N1 2022-12 言語知識 問題2
支援,N1 2022-12 言語知識 問題2
従順に,N1 2022-12 言語知識 問題2
厳正に,N1 2022-12 言語知識 問題2
忠実に,N1 2022-12 言語知識 問題2
均等に,N1 2022-12 言語知識 問題2
めくって,N1 2022-12 言語知識 問題2
すくって,N1 2022-12 言語知識 問題2
はさんで,N1 2022-12 言語知識 問題2
つまんで,N1 2022-12 言語知識 問題2
志望,N1 2022-12 言語知識 問題2
本意,N1 2022-12 言語知識 問題2
欲求,N1 2022-12 言語知識 問題2
念願,N1 2022-12 言語知識 問題2
ポーズ,N1 2022-12 言語知識 問題2
カーソル,N1 2022-12 言語知識 問題2
ピント,N1 2022-12 言語知識 問題2
テンポ,N1 2022-12 言語知識 問題2
乗り込んだ,N1 2022-12 言語知識 問題2
食い込んだ,N1 2022-12 言語知識 問題2
駆け込んだ,N1 2022-12 言語知識 問題2
追い込んだ,N1 2022-12 言語知識 問題2
てっきり,N1 2022-12 言語知識 問題2
きっぱり,N1 2022-12 言語知識 問題2
しっかり,N1 2022-12 言語知識 問題2
はっきり,N1 2022-12 言語知識 問題2
調達した,N1 2022-12 言語知識 問題3
払った,N1 2022-12 言語知識 問題3
預かった,N1 2022-12 言語知識 問題3
返却した,N1 2022-12 言語知識 問題3
用意した,N1 2022-12 言語知識 問題3
温和,N1 2022-12 言語知識 問題3
さわやかな,N1 2022-12 言語知識 問題3
おだやか,N1 2022-12 言語知識 問題3
こまやか,N1 2022-12 言語知識 問題3
かろやか,N1 2022-12 言語知識 問題3
スポット,N1 2022-12 言語知識 問題3
場所,N1 2022-12 言語知識 問題3
商品,N1 2022-12 言語知識 問題3
方法,N1 2022-12 言語知識 問題3
時期,N1 2022-12 言語知識 問題3
拮抗,N1 2022-12 言語知識 問題3
差がある,N1 2022-12 言語知識 問題3
差がない,N1 2022-12 言語知識 問題3
高くなっている,N1 2022-12 言語知識 問題3
低くなっている,N1 2022-12 言語知識 問題3
風当たり,N1 2022-12 言語知識 問題3
要求,N1 2022-12 言語知識 問題3
信頼,N1 2022-12 言語知識 問題3
期待,N1 2022-12 言語知識 問題3
批判,N1 2022-12 言語知識 問題3
あどけない,N1 2022-12 言語知識 問題3
不安そうな,N1 2022-12 言語知識 問題3
真剣な,N1 2022-12 言語知識 問題3
無邪気な,N1 2022-12 言語知識 問題3
羨ましそうな,N1 2022-12 言語知識 問題3
出荷,N1 2022-12 言語知識 問題4
譲る,N1 2022-12 言語知識 問題4
底力,N1 2022-12 言語知識 問題4
絶大,N1 2022-12 言語知識 問題4
手痛い,N1 2022-12 言語知識 問題4
誘致,N1 2022-12 言語知識 問題4
騒然,N1 2023-07 言語知識 問題1
諭した,N1 2023-07 言語知識 問題1
秩序,N1 2023-07 言語知識 問題1
潜伏,N1 2023-07 言語知識 問題1
朗らか,N1 2023-07 言語知識 問題1
振興,N1 2023-07 言語知識 問題1
自制,N1 2023-07 言語知識 問題2
自立,N1 2023-07 言語知識 問題2
自重,N1 2023-07 言語知識 問題2
自任,N1 2023-07 言語知識 問題2
返上,N1 2023-07 言語知識 問題2
還元,N1 2023-07 言語知識 問題2
配給,N1 2023-07 言語知識 問題2
譲渡,N1 2023-07 言語知識 問題2
びっしょり,N1 2023-07 言語知識 問題2
どっさり,N1 2023-07 言語知識 問題2
どんより,N1 2023-07 言語知識 問題2
ぐったり,N1 2023-07 言語知識 問題2
ノイズ,N1 2023-07 言語知識 問題2
ロック,N1 2023-07 言語知識 問題2
タブー,N1 2023-07 言語知識 問題2
ネック,N1 2023-07 言語知識 問題2
発散,N1 2023-07 言語知識 問題2
発射,N1 2023-07 言語知識 問題2
流出,N1 2023-07 言語知識 問題2
排出,N1 2023-07 言語知識 問題2
まぎらわしい,N1 2023-07 言語知識 問題2
もっともらしい,N1 2023-07 言語知識 問題2
ずうずうしい,N1 2023-07 言語知識 問題2
なれなれしい,N1 2023-07 言語知識 問題2
行き詰って,N1 2023-07 言語知識 問題2
行き交って,N1 2023-07 言語知識 問題2
行き着いて,N1 2023-07 言語知識 問題2
行き届いて,N1 2023-07 言語知識 問題2
懸念,N1 2023-07 言語知識 問題3
期待,N1 2023-07 言語知識 問題3
心配,N1 2023-07 言語知識 問題3
予想,N1 2023-07 言語知識 問題3
重視,N1 2023-07 言語知識 問題3
やつれて,N1 2023-07 言語知識 問題3
遠慮して,N1 2023-07 言語知識 問題3
張り切って,N1 2023-07 言語知識 問題3
やせ衰えて,N1 2023-07 言語知識 問題3
感動して,N1 2023-07 言語知識 問題3
奮闘して,N1 2023-07 言語知識 問題3
じっと我慢して,N1 2023-07 言語知識 問題3
必死に頑張って,N1 2023-07 言語知識 問題3
激しく怒って,N1 2023-07 言語知識 問題3
焦って取り組んで,N1 2023-07 言語知識 問題3
不慮の,N1 2023-07 言語知識 問題3
しかたない,N1 2023-07 言語知識 問題3
ありえない,N1 2023-07 言語知識 問題3
思いがけない,N1 2023-07 言語知識 問題3
情けない,N1 2023-07 言語知識 問題3
根こそぎ,N1 2023-07 言語知識 問題3
すべて,N1 2023-07 言語知識 問題3
だいぶ,N1 2023-07 言語知識 問題3
一度に,N1 2023-07 言語知識 問題3
次々に,N1 2023-07 言語知識 問題3
没頭して,N1 2023-07 言語知識 問題3
飽きて,N1 2023-07 言語知識 問題3
憧れて,N1 2023-07 言語知識 問題3
不満を持って,N1 2023-07 言語知識 問題3
熱中して,N1 2023-07 言語知識 問題3
兆し,N1 2023-07 言語知識 問題4
収容,N1 2023-07 言語知識 問題4
さえる,N1 2023-07 言語知識 問題4
痛烈,N1 2023-07 言語知識 問題4
完結,N1 2023-07 言語知識 問題4
もろい,N1 2023-07 言語知識 問題4
軌跡,N1 2023-12 言語知識 問題1
偏り,N1 2023-12 言語知識 問題1
矛盾,N1 2023-12 言語知識 問題1
誇張,N1 2023-12 言語知識 問題1
賄って,N1 2023-12 言語知識 問題1
軽率,N1 2023-12 言語知識 問題1
好況,N1 2023-12 言語知識 問題2
喜劇,N1 2023-12 言語知識 問題2
快挙,N1 2023-12 言語知識 問題2
繁栄,N1 2023-12 言語知識 問題2
助長,N1 2023-12 言語知識 問題2
拡充,N1 2023-12 言語知識 問題2
主導,N1 2023-12 言語知識 問題2
催促,N1 2023-12 言語知識 問題2
仕返し,N1 2023-12 言語知識 問題2
見返り,N1 2023-12 言語知識 問題2
返却,N1 2023-12 言語知識 問題2
返済,N1 2023-12 言語知識 問題2
集約,N1 2023-12 言語知識 問題2
結合,N1 2023-12 言語知識 問題2
結成,N1 2023-12 言語知識 問題2
採集,N1 2023-12 言語知識 問題2
手配,N1 2023-12 言語知識 問題2
始末,N1 2023-12 言語知識 問題2
実施,N1 2023-12 言語知識 問題2
整備,N1 2023-12 言語知識 問題2
めきめき,N1 2023-12 言語知識 問題2
せいぜい,N1 2023-12 言語知識 問題2
はきはき,N1 2023-12 言語知識 問題2
つくづく,N1 2023-12 言語知識 問題2
かすれて,N1 2023-12 言語知識 問題2
はがれて,N1 2023-12 言語知識 問題2
くずれて,N1 2023-12 言語知識 問題2
ほぐれて,N1 2023-12 言語知識 問題2
尺度,N1 2023-12 言語知識 問題3
理想,N1 2023-12 言語知識 問題3
意思,N1 2023-12 言語知識 問題3
基準,N1 2023-12 言語知識 問題3
専門,N1 2023-12 言語知識 問題3
わずらわしい,N1 2023-12 言語知識 問題3
退屈な,N1 2023-12 言語知識 問題3
面倒な,N1 2023-12 言語知識 問題3
危険な,N1 2023-12 言語知識 問題3
余計な,N1 2023-12 言語知識 問題3
肝心な,N1 2023-12 言語知識 問題3
個人的な,N1 2023-12 言語知識 問題3
具体的な,N1 2023-12 言語知識 問題3
詳細な,N1 2023-12 言語知識 問題3
重要な,N1 2023-12 言語知識 問題3
はかどりました。,N1 2023-12 言語知識 問題3
順調に進みました,N1 2023-12 言語知識 問題3
大幅に遅れました,N1 2023-12 言語知識 問題3
徐々に減りました,N1 2023-12 言語知識 問題3
急激に増えました,N1 2023-12 言語知識 問題3
辛抱,N1 2023-12 言語知識 問題3
苦労,N1 2023-12 言語知識 問題3
我慢,N1 2023-12 言語知識 問題3
失敗,N1 2023-12 言語知識 問題3
心配,N1 2023-12 言語知識 問題3
しきたり,N1 2023-12 言語知識 問題3
名物,N1 2023-12 言語知識 問題3
気候,N1 2023-12 言語知識 問題3
慣習,N1 2023-12 言語知識 問題3
歴史,N1 2023-12 言語知識 問題3
解約,N1 2023-12 言語知識 問題4
特産,N1 2023-12 言語知識 問題4
問い詰める,N1 2023-12 言語知識 問題4
改修,N1 2023-12 言語知識 問題4
手厚い,N1 2023-12 言語知識 問題4
デマ,N1 2023-12 言語知識 問題4
腐敗,N1 2024-07 言語知識 問題1
粗い,N1 2024-07 言語知識 問題1
粘膜,N1 2024-07 言語知識 問題1
寿命,N1 2024-07 言語知識 問題1
戒める,N1 2024-07 言語知識 問題1
誓約書,N1 2024-07 言語知識 問題1
拠点,N1 2024-07 言語知識 問題2
根底,N1 2024-07 言語知識 問題2
原本,N1 2024-07 言語知識 問題2
元祖,N1 2024-07 言語知識 問題2
寄付,N1 2024-07 言語知識 問題2
還元,N1 2024-07 言語知識 問題2
進呈,N1 2024-07 言語知識 問題2
返上,N1 2024-07 言語知識 問題2
繰り越して,N1 2024-07 言語知識 問題2
差し替えて,N1 2024-07 言語知識 問題2
引き渡して,N1 2024-07 言語知識 問題2
取り次いで,N1 2024-07 言語知識 問題2
交錯,N1 2024-07 言語知識 問題2
混合,N1 2024-07 言語知識 問題2
連動,N1 2024-07 言語知識 問題2
反発,N1 2024-07 言語知識 問題2
難航,N1 2024-07 言語知識 問題2
低迷,N1 2024-07 言語知識 問題2
衰退,N1 2024-07 言語知識 問題2
脱落,N1 2024-07 言語知識 問題2
じわじわ,N1 2024-07 言語知識 問題2
どろどろ,N1 2024-07 言語知識 問題2
がやがや,N1 2024-07 言語知識 問題2
べたべた,N1 2024-07 言語知識 問題2
骨折り,N1 2024-07 言語知識 問題2
足手まとい,N1 2024-07 言語知識 問題2
裏目,N1 2024-07 言語知識 問題2
および腰,N1 2024-07 言語知識 問題2
委託する,N1 2024-07 言語知識 問題3
戻す,N1 2024-07 言語知識 問題3
送る,N1 2024-07 言語知識 問題3
任せる,N1 2024-07 言語知識 問題3
譲る,N1 2024-07 言語知識 問題3
すがすがしい,N1 2024-07 言語知識 問題3
ゆううつな,N1 2024-07 言語知識 問題3
爽やかな,N1 2024-07 言語知識 問題3
楽しい,N1 2024-07 言語知識 問題3
懐かしい,N1 2024-07 言語知識 問題3
工面する,N1 2024-07 言語知識 問題3
減らす,N1 2024-07 言語知識 問題3
計算する,N1 2024-07 言語知識 問題3
用意する,N1 2024-07 言語知識 問題3
支払う,N1 2024-07 言語知識 問題3
ぞんざいな,N1 2024-07 言語知識 問題3
雑な,N1 2024-07 言語知識 問題3
変な,N1 2024-07 言語知識 問題3
危険な,N1 2024-07 言語知識 問題3
強引な,N1 2024-07 言語知識 問題3
うなだれて,N1 2024-07 言語知識 問題3
ふざけた態度で,N1 2024-07 言語知識 問題3
目を閉じて,N1 2024-07 言語知識 問題3
まじめな表情で,N1 2024-07 言語知識 問題3
下を向いて,N1 2024-07 言語知識 問題3
打撃,N1 2024-07 言語知識 問題3
アクシデント,N1 2024-07 言語知識 問題3
タブー,N1 2024-07 言語知識 問題3
プレッシャー,N1 2024-07 言語知識 問題3
ダメージ,N1 2024-07 言語知識 問題3
風潮,N1 2024-07 言語知識 問題4
もたらす,N1 2024-07 言語知識 問題4
撤回,N1 2024-07 言語知識 問題4
補填,N1 2024-07 言語知識 問題4
コンスタント,N1 2024-07 言語知識 問題4
ずばり,N1 2024-07 言語知識 問題4
絶叫,N1 2024-12 言語知識 問題1
背後,N1 2024-12 言語知識 問題1
抱負,N1 2024-12 言語知識 問題1
侮って,N1 2024-12 言語知識 問題1
筋道,N1 2024-12 言語知識 問題1
奔放,N1 2024-12 言語知識 問題1
適応,N1 2024-12 言語知識 問題2
合致,N1 2024-12 言語知識 問題2
転換,N1 2024-12 言語知識 問題2
推移,N1 2024-12 言語知識 問題2
企てて,N1 2024-12 言語知識 問題2
興して,N1 2024-12 言語知識 問題2
築いて,N1 2024-12 言語知識 問題2
掲げて,N1 2024-12 言語知識 問題2
相続,N1 2024-12 言語知識 問題2
獲得,N1 2024-12 言語知識 問題2
踏襲,N1 2024-12 言語知識 問題2
伝承,N1 2024-12 言語知識 問題2
息抜き,N1 2024-12 言語知識 問題2
棚上げ,N1 2024-12 言語知識 問題2
待ち伏せ,N1 2024-12 言語知識 問題2
足止め,N1 2024-12 言語知識 問題2
めちゃめちゃ,N1 2024-12 言語知識 問題2
へとへと,N1 2024-12 言語知識 問題2
どろどろ,N1 2024-12 言語知識 問題2
ぐちゃぐちゃ,N1 2024-12 言語知識 問題2
払拭,N1 2024-12 言語知識 問題2
喪失,N1 2024-12 言語知識 問題2
破棄,N1 2024-12 言語知識 問題2
排斥,N1 2024-12 言語知識 問題2
じきに,N1 2024-12 言語知識 問題2
いまに,N1 2024-12 言語知識 問題2
とっさに,N1 2024-12 言語知識 問題2
とっくに,N1 2024-12 言語知識 問題2
手腕,N1 2024-12 言語知識 問題3
経験,N1 2024-12 言語知識 問題3
能力,N1 2024-12 言語知識 問題3
考え,N1 2024-12 言語知識 問題3
人柄,N1 2024-12 言語知識 問題3
ロスして,N1 2024-12 言語知識 問題3
間違えて,N1 2024-12 言語知識 問題3
無駄にして,N1 2024-12 言語知識 問題3
かいて,N1 2024-12 言語知識 問題3
延長して,N1 2024-12 言語知識 問題3
おろそかに,N1 2024-12 言語知識 問題3
めんどうくさ,N1 2024-12 言語知識 問題3
困難に,N1 2024-12 言語知識 問題3
遅く,N1 2024-12 言語知識 問題3
いいかげん,N1 2024-12 言語知識 問題3
目下,N1 2024-12 言語知識 問題3
最大,N1 2024-12 言語知識 問題3
将来,N1 2024-12 言語知識 問題3
今,N1 2024-12 言語知識 問題3
最低限,N1 2024-12 言語知識 問題3
請け負う,N1 2024-12 言語知識 問題3
引き受ける,N1 2024-12 言語知識 問題3
申し込む,N1 2024-12 言語知識 問題3
断る,N1 2024-12 言語知識 問題3
諦める,N1 2024-12 言語知識 問題3
進呈しました,N1 2024-12 言語知識 問題3
差し上げました,N1 2024-12 言語知識 問題3
いただきました,N1 2024-12 言語知識 問題3
お貸ししました,N1 2024-12 言語知識 問題3
お借りしました,N1 2024-12 言語知識 問題3
加工,N1 2024-12 言語知識 問題4
養う,N1 2024-12 言語知識 問題4
資質,N1 2024-12 言語知識 問題4
正当,N1 2024-12 言語知識 問題4
ありきたり,N1 2024-12 言語知識 問題4
間柄,N1 2024-12 言語知識 問題4
頑丈,N1 2025-12 言語知識 問題1
潜ん,N1 2025-12 言語知識 問題1
行政,N1 2025-12 言語知識 問題1
卓越,N1 2025-12 言語知識 問題1
芳しいない,N1 2025-12 言語知識 問題1
管轄,N1 2025-12 言語知識 問題1
一因,N1 2025-12 言語知識 問題2
一環,N1 2025-12 言語知識 問題2
部門,N1 2025-12 言語知識 問題2
部下,N1 2025-12 言語知識 問題2
プラス,N1 2025-12 言語知識 問題2
アップ,N1 2025-12 言語知識 問題2
リード,N1 2025-12 言語知識 問題2
キャッチ,N1 2025-12 言語知識 問題2
均一,N1 2025-12 言語知識 問題2
互角,N1 2025-12 言語知識 問題2
間近,N1 2025-12 言語知識 問題2
並列,N1 2025-12 言語知識 問題2
差し出す,N1 2025-12 言語知識 問題2
振りまく,N1 2025-12 言語知識 問題2
割り当てる,N1 2025-12 言語知識 問題2
引き渡す,N1 2025-12 言語知識 問題2
周到な,N1 2025-12 言語知識 問題2
強固な,N1 2025-12 言語知識 問題2
濃厚な,N1 2025-12 言語知識 問題2
果敢な,N1 2025-12 言語知識 問題2
さきごろ,N1 2025-12 言語知識 問題2
いつしか,N1 2025-12 言語知識 問題2
いまに,N1 2025-12 言語知識 問題2
ひとまず,N1 2025-12 言語知識 問題2
はらはら,N1 2025-12 言語知識 問題2
ひやひや,N1 2025-12 言語知識 問題2
おどおど,N1 2025-12 言語知識 問題2
むしゃくしゃ,N1 2025-12 言語知識 問題2
誇張して,N1 2025-12 言語知識 問題3
おおげさに,N1 2025-12 言語知識 問題3
勝手に,N1 2025-12 言語知識 問題3
自慢して,N1 2025-12 言語知識 問題3
いらいらして,N1 2025-12 言語知識 問題3
ひそかに,N1 2025-12 言語知識 問題3
ずっと,N1 2025-12 言語知識 問題3
しっかり,N1 2025-12 言語知識 問題3
こっそり,N1 2025-12 言語知識 問題3
すでに,N1 2025-12 言語知識 問題3
試練,N1 2025-12 言語知識 問題3
苦難,N1 2025-12 言語知識 問題3
競争,N1 2025-12 言語知識 問題3
支援,N1 2025-12 言語知識 問題3
反省,N1 2025-12 言語知識 問題3
うろたえる,N1 2025-12 言語知識 問題3
落ち込む,N1 2025-12 言語知識 問題3
慌てる,N1 2025-12 言語知識 問題3
威張る,N1 2025-12 言語知識 問題3
悔しがる,N1 2025-12 言語知識 問題3
当面,N1 2025-12 言語知識 問題3
絶対,N1 2025-12 言語知識 問題3
しばらく,N1 2025-12 言語知識 問題3
あまり,N1 2025-12 言語知識 問題3
ひとまず,N1 2025-12 言語知識 問題3
自前である,N1 2025-12 言語知識 問題3
自分で買う,N1 2025-12 言語知識 問題3
自分で決める,N1 2025-12 言語知識 問題3
自分でデザインする,N1 2025-12 言語知識 問題3
自分でチェックする,N1 2025-12 言語知識 問題3
運用,N1 2025-12 言語知識 問題4
抜き打ち,N1 2025-12 言語知識 問題4
かすれる,N1 2025-12 言語知識 問題4
緻密,N1 2025-12 言語知識 問題4
迫力,N1 2025-12 言語知識 問題4
目まくるしい,N1 2025-12 言語知識 問題4
